slug,authority,official_url,fee,exam_format,eligibility,frequency,pass_rate,source_checked_at
c-3207,一般財団法人 不動産適正取引推進機構,https://www.retio.or.jp/exam/,"8,200円",50問・四肢択一(マークシート)・2時間,受験資格なし(誰でも受験可),年1回(10月),18.7%(令和7年度),2026-06-18
c-3701,一般財団法人 行政書士試験研究センター,https://gyosei-shiken.or.jp/,"10,400円",択一式・多肢選択式・記述式・3時間,受験資格なし(誰でも受験可),年1回(11月),14.54%(令和7年度),2026-06-18
c-2510,全国社会保険労務士会連合会 試験センター,https://www.sharosi-siken.or.jp/,"15,000円",選択式・択一式(マークシート),受験資格あり(学歴・実務経験・国家試験合格のいずれか),年1回(8月),5.5%(第57回・令和7年度),2026-06-18
c-3624,日本商工会議所・各地商工会議所,https://www.kentei.ne.jp/bookkeeping/class2,"5,500円(税込)",統一試験(ペーパー)/ネット試験(CBT)・90分,受験資格なし(誰でも受験可),統一試験 年3回(6月・11月・2月)/ネット試験 随時,,2026-06-18
c-3625,日本商工会議所・各地商工会議所,https://www.kentei.ne.jp/bookkeeping/class3,"3,300円(税込)",統一試験(ペーパー)/ネット試験(CBT)・60分,受験資格なし(誰でも受験可),統一試験 年3回(6月・11月・2月)/ネット試験 随時,,2026-06-18
c-6809,一般財団法人 電気技術者試験センター,https://www.shiken.or.jp/,"9,300円〜(ネット申込・年度改定あり)",学科(CBT/筆記・五肢択一)＋技能(実技),受験資格なし(誰でも受験可),年2回(上期・下期),技能69.5%(令和6年度下期),2026-06-18
c-6808,一般財団法人 電気技術者試験センター,https://www.shiken.or.jp/,"10,900円(ネット申込・年度改定あり)",学科(CBT・五肢択一)＋技能(実技),受験資格なし(免状交付には実務経験が必要),年2回(上期・下期),学科59.3%(令和6年度上期),2026-06-18
c-1205,一般財団法人 電気技術者試験センター,https://www.shiken.or.jp/,"7,700円(ネット申込)/8,100円(書面)",4科目(理論・電力・機械・法規)五肢択一・CBT/筆記選択・科目合格制,受験資格なし(誰でも受験可),年2回(上期・下期),16.0%(令和6年度上期),2026-06-18
c-6703,公益財団法人 安全衛生技術試験協会(免許交付・実技講習は日本ボイラ協会),https://www.exam.or.jp/,"8,800円(2023年改定)",五肢択一・マークシート(筆記のみ・CBTなし),受験資格なし(免許交付には実務経験・実技講習が必要),各センターで月1〜2回,53.8%(令和6年度),2026-06-18
c-2202,公益財団法人 安全衛生技術試験協会,https://www.exam.or.jp/,"8,800円(2023年改定)",五肢択一・マークシート,受験資格あり(大学卒＋労働衛生実務1年以上 等の学歴・実務要件),各センターで月数回,46.3%(令和6年度),2026-06-18
c-1408,国土交通省 国土地理院,https://www.gsi.go.jp/LAW/men-index.html,"4,250円(書面)/4,200円(電子申請)",筆記(午前=択一マークシート/午後=記述式),受験は誰でも可(登録には学歴＋実務経験等が必要),年1回(5月),40.2%(令和7年),2026-06-18
c-2303,一般社団法人 全国保育士養成協議会(所管:こども家庭庁),https://www.hoyokyo.or.jp/exam/,"12,950円",筆記9科目(マークシート)＋実技(3分野中2分野選択),受験資格あり(学歴・実務経験等の要件),年2回(前期・後期),26.3%(令和6年度),2026-06-18
c-2001,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/kanrieiyoushi/,"6,800円",全9科目200問・マークシート(合格基準60%),受験資格あり(管理栄養士養成課程卒業/栄養士免許＋実務経験),年1回(2〜3月),47.6%(第40回),2026-06-18
c-5207,一般財団法人 消防試験研究センター,https://www.shoubo-shiken.or.jp/kikenbutsu/,"4,600円(乙種・2024年5月改定)",五肢択一・マークシート(乙種35問・2時間・科目別60%),受験資格なし(甲種は学歴・実務等の要件あり),都道府県支部により異なる(年複数回の地域あり),,2026-06-18
c-4502,一般財団法人 消防試験研究センター,https://www.shoubo-shiken.or.jp/shoubou/,"4,400円(乙種・2024年5月改定)",筆記(マークシート)＋実技,受験資格なし(甲種は要件あり),都道府県支部により異なる,,2026-06-18
c-1803,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/kangoshi/,"5,400円",マークシート(必修50・一般130・状況設定60の計240問),受験資格あり(指定の看護師養成課程を修了/卒業見込み等),年1回(2月),,2026-06-18
